Accountants and Auditors,"200,480",1.6,102.41,"213,020",0.8,28.99,53.4,86.31,#,#,"60,300","111,080","179,520",#,#,,
"Actors, Producers, and Directors","2,984,920",0.5,55.41,"115,250",0.4,20.8,29.18,47.1,72.96,#,"43,260","60,690","97,970","151,750",#,,
Actuaries,"44,590",2.7,*,"57,110",1.8,*,*,*,*,*,"17,850","22,880","37,270","78,510","100,580",TRUE,
"Administrative Law Judges, Adjudicators, and Hearing Officers","22,520",3.4,68.68,"142,860",1.9,29.45,45.2,61.13,82.79,#,"61,250","94,020","127,150","172,210",#,,
Administrative Services Managers,"278,690",1,73.77,"153,440",0.5,37.35,48.08,64.92,92.56,#,"77,680","100,010","135,030","192,520",#,,
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","453,800",1.2,68.46,"142,390",0.4,29.37,40.6,61.3,83.18,#,"61,090","84,450","127,490","173,010",#,,
Advertising and Promotions Managers,"59,850",2.2,66.35,"138,000",0.9,31.73,45.51,60.47,79.24,#,"66,000","94,660","125,780","164,830",#,,
Advertising and Promotions Managers,"23,190",1.8,57.4,"119,400",0.8,29.04,37.1,48.47,72.56,98.29,"60,400","77,170","100,810","150,920","204,430",,
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","224,620",0.7,54.34,"113,030",0.4,28.59,37.05,48.16,63.05,81.21,"59,470","77,070","100,170","131,130","168,910",,
Aerospace Engineering and Operations Technologists and Technicians,"101,230",1.3,49.03,"101,970",0.5,28.37,35.91,47.08,60.55,77.47,"59,010","74,700","97,930","125,940","161,140",,
Aerospace Engineers,"485,190",0.9,78.33,"162,930",0.3,45.78,59.05,76.45,95.56,#,"95,220","122,820","159,010","198,750",#,,
"Agents and Business Managers of Artists, Performers, and Athletes","681,070",0.6,73.78,"153,460",0.3,37.04,47.89,63.32,92.24,#,"77,040","99,620","131,710","191,860",#,,
Agricultural and Food Scientists,"192,270",0.6,56.62,"117,780",0.3,30.84,38.55,49.59,64.49,81.96,"64,150","80,190","103,150","134,130","170,470",,
Agricultural Engineers,"69,310",0.9,64.71,"134,590",0.5,37.17,47.46,61.13,78.19,99.3,"77,310","98,720","127,150","162,630","206,540",,
Agricultural Inspectors,"144,640",1.1,50.76,"105,580",0.6,28.16,36.2,47.22,60.87,78.26,"58,570","75,290","98,230","126,600","162,770",,
"Agricultural Sciences Teachers, Postsecondary","15,330",2.5,67.05,"139,470",1,37.04,47.46,61.31,78.79,#,"77,040","98,720","127,530","163,870",#,,
Agricultural Workers,"166,530",1.4,65.67,"136,590",0.5,36.06,45.82,60.69,78.54,#,"75,000","95,310","126,230","163,360",#,,
Air Traffic Controllers,"35,830",1.2,61.92,"128,800",0.7,30.95,43.74,57.76,77.65,99.72,"64,370","90,980","120,130","161,520","207,420",,
Aircraft Cargo Handling Supervisors,"5,220",5.6,37.71,"78,440",2,18.37,24.01,35.12,46.4,60.74,"38,200","49,940","73,060","96,520","126,330",,
Aircraft Mechanics and Service Technicians,"284,750",1.5,52.02,"108,210",0.8,28.87,37,47.55,61.11,78.75,"60,050","76,960","98,890","127,110","163,800",,
Aircraft Service Attendants,"56,430",2.7,25.87,"53,800",0.9,15,17.88,22.75,28.85,37.67,"31,200","37,200","47,310","60,010","78,350",,
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","274,710",0.8,*,"102,650",0.3,*,*,*,*,*,"61,480","77,450","98,420","125,520","153,520",TRUE,
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","155,990",0.3,53.49,"111,260",0.3,28.44,35.93,46.59,61.55,91.72,"59,150","74,730","96,910","128,020","190,770",,
Airfield Operations Specialists,"49,970",1.7,45.54,"94,730",0.7,22.9,29.9,43.54,57.4,72.38,"47,630","62,190","90,560","119,400","150,540",,
All Occupations,"187,100",0.9,76.43,"158,970",0.3,47.76,60.32,73.25,91.55,#,"99,350","125,470","152,350","190,420",#,,
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","210,680",1.9,30.75,"63,970",1.4,17.61,22.4,28.58,36.6,47.15,"36,630","46,590","59,440","76,130","98,070",,
Anesthesiologists,"3,660",3.5,42.88,"89,190",1.6,22.87,28.92,36.98,48.16,70.08,"47,580","60,150","76,910","100,170","145,770",,
Animal Breeders,"17,800",3.3,35.48,"73,810",1.4,17.8,23.01,29.81,43.69,59.67,"37,020","47,850","62,000","90,870","124,120",,
Animal Care and Service Workers,"35,920",2.5,32.58,"67,770",1.8,17.08,22.31,28.57,37.27,49.89,"35,530","46,400","59,430","77,510","103,780",,
